"brain1","brain2","pearson_r","pearson_p","spearman_rho","spearman_p","pearson_bonf","pearson_fdr","pearson_holm","spearman_bonf","spearman_fdr","spearman_holm"
"Amygdala_02","Caudata_02",0.517276139530535,2.89686383859255e-07,0.499234526499963,1.21939943971873e-06,4.95363716399326e-05,3.97511810839002e-07,1.39049464252442e-05,0.000208517304191902,1.82909915957809e-06,7.07251675036862e-05
"Amygdala_02","Cingulate_Ant_02",0.647633178987981,1.20732477384411e-11,0.620817234089086,0,2.06452536327344e-09,3.4911501594951e-11,1.36427699444385e-09,0,0,0
"Amygdala_02","Cingulate_Post_02",0.442108170406558,1.80975728265006e-05,0.380422103958591,0.000307578021416172,0.00309468495333161,2.02266990413831e-05,0.000343853883703512,0.0525958416621655,0.000332885073811174,0.00430609229982641
"Amygdala_02","Frontal_Mid_02",0.618517339891312,1.72602405306588e-10,0.606473718743165,7.58245724024164e-11,2.95150113074265e-08,4.15704384611641e-10,1.74328429359654e-08,1.29660018808132e-08,2.09129062593761e-10,8.3407029642658e-09
"Amygdala_02","Frontal_Sup_02",0.611827719269729,3.06141844756326e-10,0.608897718159947,0,5.23502554533317e-08,7.27086881296273e-10,3.06141844756326e-08,0,0,0
"Amygdala_02","Frontal_Sup_Medial_02",0.58665274028908,2.35717104889744e-09,0.545326966537873,8.02705408426784e-08,4.03076249361463e-07,4.47862499290514e-09,1.9328802600959e-07,1.3726262484098e-05,1.49198505261935e-07,6.42164326741427e-06
"Amygdala_02","Hypothalamus_02",0.4242050059789,4.22870273517102e-05,0.452285485164394,1.36533874080824e-05,0.00723108167714245,4.66521398525319e-05,0.000718879464979074,0.00233472924678208,1.76873427786521e-05,0.000546135496323294
"Amygdala_02","Insula_02",0.762005456830506,1.02297668417106e-17,0.73640373259459,0,1.74929012993251e-15,7.28870887471879e-17,1.51400549257317e-15,0,0,0
"Amygdala_02","LC_02",0.54030979523367,6.60768467237098e-08,0.436064737187432,2.92382858843403e-05,1.12991407897544e-05,9.91152700855646e-08,3.83245710997517e-06,0.00499974688622219,3.49632649386167e-05,0.000847910290645869
"Amygdala_02","N_Acc_02",0.622822264828667,1.18510299274116e-10,0.571954509003426,1.2979126890406e-08,2.02652611758739e-08,2.93699437331506e-10,1.2206560825234e-08,2.21943069825942e-06,2.95924093101256e-08,1.25897530836938e-06
"Amygdala_02","OFCmed_02",0.529974042736992,1.30010175460257e-07,0.530546037763359,2.00762795559436e-07,2.2231740003704e-05,1.91652931066413e-07,7.2805698257744e-06,3.43304380406636e-05,3.63963711967768e-07,1.5659498053636e-05
"Amygdala_02","Pallidum_02",0.656258882055036,5.19152216715952e-12,0.622275278851061,0,8.87750290584278e-10,1.67500054827222e-11,6.17791137891983e-10,0,0,0
"Amygdala_02","Precuneus_02",0.523395730657661,1.9770101097814e-07,0.450809214842896,1.4655014829801e-05,3.3806872877262e-05,2.77105515387393e-07,1.00083883479777e-05,0.00250600753589598,1.86603960045934e-05,0.00055689056353244
"Amygdala_02","Putamen_02",0.646515539111094,1.34419548584013e-11,0.602172486695342,4.84267289145644e-10,2.29857428078662e-09,3.76815455866659e-11,1.49205698928254e-09,8.28097064439051e-08,1.31443978482389e-09,5.27851345168752e-08
"Amygdala_02","Raphe_D_02",0.40050786746858,0.00012111152517972,0.388514252387548,0.000223669873798326,0.0207100708057321,0.000129437942535825,0.00154484595819543,0.0382475484195138,0.000245176592432781,0.00357871798077322
"Amygdala_02","Raphe_M_02",0.633257589315086,4.6491957405217e-11,0.510078734417147,6.65329971969579e-07,7.9501247162921e-09,1.22309611019879e-10,4.97463944235822e-09,0.000113771425206798,1.06328434772708e-06,4.32464481780227e-05
"Amygdala_02","Thalamus_02",0.627690330472832,7.6925380683496e-11,0.600040096230954,7.4694021895182e-10,1.31542400968778e-08,1.93444707307027e-10,8.00023959108359e-09,1.27726777440761e-07,1.9352542036479e-09,7.9175663208893e-08
"Amygdala_02","VTA_02",0.632052898264912,5.18886353233522e-11,0.552963475978712,4.89331045334983e-08,8.87295664029323e-09,1.3443873697414e-10,5.50019534427534e-09,8.36756087522821e-06,9.72972194793978e-08,4.20824698988085e-06
"Caudata_02","Cingulate_Ant_02",0.792028226089485,6.55597723719802e-20,0.660002187067143,0,1.12107210756086e-17,8.62363159662201e-19,1.04240038071449e-17,0,0,0
"Caudata_02","Cingulate_Post_02",0.649327671756963,1.02505101083643e-11,0.590581030837647,2.60432825655504e-09,1.75283722853029e-09,3.13006647951838e-11,1.18905917257026e-09,4.45340131870911e-07,6.64686763986435e-09,2.73454466938279e-07
"Caudata_02","Frontal_Mid_02",0.762126811347626,1.00382132306807e-17,0.706768972807465,0,1.71653446244639e-15,7.28870887471879e-17,1.49569377137142e-15,0,0,0
"Caudata_02","Frontal_Sup_02",0.759122014896063,1.5977152260966e-17,0.693518991033025,0,2.73209303662518e-15,9.75747513080422e-17,2.3007099255791e-15,0,0,0
"Caudata_02","Frontal_Sup_Medial_02",0.725487890195749,1.8991493495877e-15,0.632262885470584,0,3.24754538779498e-13,8.11886346948744e-15,2.50687714145577e-13,0,0,0
"Caudata_02","Hypothalamus_02",0.418292123896186,5.53924296542707e-05,0.344882262885471,0.00114006328844055,0.00947210547088029,6.07186248133352e-05,0.000886278874468332,0.194950822323334,0.0011887245263618,0.00912050630752442
"Caudata_02","Insula_02",0.669458805528194,1.3515652508843e-12,0.583199679230152,5.25300869155412e-09,2.31117657901215e-10,4.62235315802431e-12,1.64890960607885e-10,8.98264486255754e-07,1.32097718567023e-08,5.46312903921628e-07
"Caudata_02","LC_02",0.594702774696614,1.25090713407286e-09,0.582288401253918,5.68481304853037e-09,2.13905119926459e-07,2.42077593525727e-09,1.0507619926212e-07,9.72103031298693e-07,1.40884497289666e-08,5.85535743998628e-07
"Caudata_02","N_Acc_02",0.744910818641773,1.31736191228133e-16,0.690493548151928,0,2.25268887000107e-14,7.26673829032602e-16,1.85748029631667e-14,0,0,0
"Caudata_02","OFCmed_02",0.456169586054719,8.97909066708306e-06,0.508784719690894,7.15930997675702e-07,0.0015354245040712,1.0374489892373e-05,0.000215498176009993,0.000122424200602545,1.10292072614906e-06,4.42507048724641e-05
