ROI,OR,p,FDR,PostHoc_Power,Required_N,PostHoc_Power_percent,Sufficient_Power
Frontal_Mid_02,0.729181833,0.151916604,0.817190015,0.286718244,334,28.7,FALSE
LC_02,1.249580148,0.296012591,0.817190015,0.169595469,654,17,FALSE
Putamen_02,0.803662263,0.301623109,0.817190015,0.165114042,679,16.5,FALSE
Insula_02,0.795230731,0.306063447,0.817190015,0.176432949,619,17.6,FALSE
Cingulate_Ant_02,0.826892669,0.369871264,0.817190015,0.137072473,892,13.7,FALSE
Pallidum_02,0.83539502,0.394677598,0.817190015,0.127933507,995,12.8,FALSE
Caudata_02,0.841024746,0.411446228,0.817190015,0.122204596,1072,12.2,FALSE
Frontal_Sup_02,0.846623023,0.440838611,0.817190015,0.116758156,1158,11.7,FALSE
Raphe_D_02,0.852754353,0.44467856,0.817190015,0.111075291,1264,11.1,FALSE
Precuneus_02,0.860400991,0.474258891,0.817190015,0.104393898,1416,10.4,FALSE
Cingulate_Post_02,0.862395526,0.479994924,0.817190015,0.102724108,1460,10.3,FALSE
Thalamus_02,0.872840058,0.516120009,0.817190015,0.094463313,1727,9.4,FALSE
VTA_02,1.11550003,0.603692673,0.88232006,0.078664088,2665,7.9,FALSE
Amygdala_02,0.963412454,0.862396769,0.994706102,0.053319007,22784,5.3,FALSE
N_Acc_02,0.965323235,0.864526536,0.994706102,0.052975317,25412,5.3,FALSE
Frontal_Sup_Medial_02,0.973256848,0.899186038,0.994706102,0.051754834,43064,5.2,FALSE
Hypothalamus_02,0.994666605,0.979478522,0.994706102,0.050068269,1106088,5,FALSE
Raphe_M_02,0.995661634,0.983547085,0.994706102,0.050045126,1673310,5,FALSE
OFCmed_02,1.001350153,0.994706102,0.994706102,0.050004343,17375291,5,FALSE
