variable,effect,term,beta,se,CI_lower,CI_upper,p,R2_marginal,R2_conditional,n,group,p_fdr,p_bonf,p_fwe
SP,main_predictor,SP_c,-2.087816078,3.358680264,-8.670708431,4.495076275,0.536084296,0.338257338,0.61225285,92,sleep,0.877228849,1,1
SP,main_time,timepost,-28.84782609,3.405401128,-35.52228965,-22.17336252,6.0327E-11,0.338257338,0.61225285,92,sleep,2.11143E-10,1.08589E-09,1.08589E-09
SP,interaction,SP_c:timepost,2.432370036,3.424061,-4.278666205,9.143406277,0.481057284,0.338257338,0.61225285,92,sleep,0.877228849,1,1
NRS,main_predictor,NRS_c,2.466811096,3.22168092,-3.847567477,8.781189669,0.446180302,0.342498471,0.608086713,92,sleep,0.877228849,1,1
NRS,main_time,timepost,-28.84782609,3.423726073,-35.55820588,-22.13744629,7.02365E-11,0.342498471,0.608086713,92,sleep,2.11143E-10,1.26426E-09,1.08589E-09
NRS,interaction,NRS_c:timepost,-0.310755435,3.442486356,-7.05790471,6.43639384,0.928464079,0.342498471,0.608086713,92,sleep,0.969687865,1,1
apnea,main_predictor,apnea_c,-1.453701185,3.26528281,-7.853537892,4.946135521,0.657428009,0.336943472,0.608384576,92,sleep,0.922082881,1,1
apnea,main_time,timepost,-28.84782609,3.422321062,-35.55545211,-22.14020006,6.94257E-11,0.336943472,0.608384576,92,sleep,2.11143E-10,1.24966E-09,1.08589E-09
apnea,interaction,apnea_c:timepost,0.737492152,3.441073647,-6.006888264,7.481872568,0.831244486,0.336943472,0.608384576,92,sleep,0.969687865,1,1
sleepiness,main_predictor,sleepiness_c,3.382264987,3.226371974,-2.941307882,9.705837856,0.297758183,0.343934792,0.611610409,92,sleep,0.765663898,1,1
sleepiness,main_time,timepost,-28.84782609,3.408326646,-35.52802356,-22.16762861,6.18156E-11,0.343934792,0.611610409,92,sleep,2.11143E-10,1.11268E-09,1.08589E-09
sleepiness,interaction,sleepiness_c:timepost,-2.233696008,3.427002549,-8.950497578,4.483105562,0.517778311,0.343934792,0.611610409,92,sleep,0.877228849,1,1
KSQ_total,main_predictor,KSQ_total_c,1.045782461,3.28390318,-5.390549502,7.482114423,0.751006208,0.336446299,0.608003843,92,sleep,0.96557941,1,1
KSQ_total,main_time,timepost,-28.84782609,3.423974984,-35.55869374,-22.13695844,7.0381E-11,0.336446299,0.608003843,92,sleep,2.11143E-10,1.26686E-09,1.08589E-09
KSQ_total,interaction,KSQ_total_c:timepost,-0.131537119,3.442736631,-6.879176924,6.616102685,0.969687865,0.336446299,0.608003843,92,sleep,0.969687865,1,1
KSS_pre,main_predictor,KSS_pre_c,-0.147590102,3.173650178,-6.36783015,6.072649946,0.963025923,0.337139208,0.609596718,92,sleep,0.969687865,1,1
KSS_pre,main_time,timepost,-28.84782609,3.417024163,-35.54507038,-22.15058179,6.64475E-11,0.337139208,0.609596718,92,sleep,2.11143E-10,1.19605E-09,1.08589E-09
KSS_pre,interaction,KSS_pre_c:timepost,-1.492871103,3.435747724,-8.226812901,5.241070695,0.665948748,0.337139208,0.609596718,92,sleep,0.922082881,1,1
