group,variable,effect,term,beta,se,CI_lower,CI_upper,p,p_fdr,p_bonf,p_fwe,R2_marginal,R2_conditional,n
sleep,SP,main_predictor,SP_c,-3.915123061,4.098969638,-11.94895593,4.118709803,0.345437322,0.963050173,1,1,0.447449891,0.717171254,48
sleep,SP,main_time,timepost,-32.08333333,4.090459183,-40.10048601,-24.06618065,4.46959E-08,4.48451E-08,2.68175E-07,1.72289E-07,0.447449891,0.717171254,48
sleep,SP,interaction,SP_c:timepost,0.426965347,4.133745671,-7.675027289,8.528957984,0.918592828,0.969122634,1,1,0.447449891,0.717171254,48
sleep,NRS,main_predictor,NRS_c,1.09650738,4.35291358,-7.435046464,9.628061223,0.802541811,0.963050173,1,1,0.4371114,0.730956162,48
sleep,NRS,main_time,timepost,-32.08333333,3.989097129,-39.90182004,-24.26484663,2.87149E-08,4.48451E-08,1.72289E-07,1.72289E-07,0.4371114,0.730956162,48
sleep,NRS,interaction,NRS_c:timepost,-4.500614854,4.031310973,-12.40183917,3.400609463,0.275297748,0.823890172,1,1,0.4371114,0.730956162,48
sleep,apnea,main_predictor,apnea_c,-0.146043844,4.547301364,-9.058590744,8.766503056,0.974560157,0.974560157,1,1,0.437853256,0.726786248,48
sleep,apnea,main_time,timepost,-32.08333333,4.019923133,-39.96223789,-24.20442877,3.29099E-08,4.48451E-08,1.97459E-07,1.72289E-07,0.437853256,0.726786248,48
sleep,apnea,interaction,apnea_c:timepost,-3.768846827,4.062463187,-11.73112836,4.193434708,0.362787181,0.823890172,1,1,0.437853256,0.726786248,48
sleep,sleepiness,main_predictor,sleepiness_c,1.424622111,4.350360944,-7.101928658,9.95117288,0.745172006,0.963050173,1,1,0.439208541,0.721281673,48
sleep,sleepiness,main_time,timepost,-32.08333333,4.060274749,-40.04132561,-24.12534106,3.92473E-08,4.48451E-08,2.35484E-07,1.72289E-07,0.439208541,0.721281673,48
sleep,sleepiness,interaction,sleepiness_c:timepost,2.492496126,4.103241816,-5.549710053,10.53470231,0.549260115,0.823890172,1,1,0.439208541,0.721281673,48
sleep,KSQ_total,main_predictor,KSQ_total_c,-1.697625563,4.117313753,-9.767412232,6.372161105,0.682415834,0.963050173,1,1,0.446070056,0.723548342,48
sleep,KSQ_total,main_time,timepost,-32.08333333,4.04402276,-40.0094723,-24.15719437,3.65717E-08,4.48451E-08,2.1943E-07,1.72289E-07,0.446070056,0.723548342,48
sleep,KSQ_total,interaction,KSQ_total_c:timepost,-3.072594163,4.086817844,-11.08260995,4.937421622,0.459463157,0.823890172,1,1,0.446070056,0.723548342,48
sleep,KSS_pre,main_predictor,KSS_pre_c,-2.574535098,4.165413918,-10.73859636,5.589526163,0.540196779,0.963050173,1,1,0.437996026,0.717007317,48
sleep,KSS_pre,main_time,timepost,-32.08333333,4.091237826,-40.10201212,-24.06465454,4.48451E-08,4.48451E-08,2.69071E-07,1.72289E-07,0.437996026,0.717007317,48
sleep,KSS_pre,interaction,KSS_pre_c:timepost,-0.161720299,4.134532553,-8.265255196,7.941814599,0.969122634,0.969122634,1,1,0.437996026,0.717007317,48
