"ROI","N","df1","df2","F_value","p_value","p_fdr","p_bonf","p_fwe"
"Amygdala_02",46,2,41,0.186861540457576,0.830261107186601,0.98727056000793,1,1
"Caudata_02",46,2,41,0.582039884032226,0.563307098484889,0.98727056000793,1,1
"Cingulate_Ant_02",46,2,41,0.539017260472878,0.587397952526618,0.98727056000793,1,1
"Cingulate_Post_02",46,2,41,0.0128151573974902,0.98727056000793,0.98727056000793,1,1
"Frontal_Mid_02",46,2,41,0.471463793040693,0.627429421548559,0.98727056000793,1,1
"Frontal_Sup_02",46,2,41,0.105766587333634,0.899879261106238,0.98727056000793,1,1
"Frontal_Sup_Medial_02",46,2,41,0.811805338717858,0.45106509144993,0.98727056000793,1,1
"Hypothalamus_02",46,2,41,6.1524396404834,0.00460623719376643,0.0875185066815621,0.0875185066815621,0.0875185066815621
"Insula_02",46,2,41,0.0354029454230285,0.965245881508196,0.98727056000793,1,1
"LC_02",46,2,41,0.455408360907692,0.637358114338219,0.98727056000793,1,1
"N_Acc_02",46,2,41,0.156781670084449,0.855400768149327,0.98727056000793,1,1
"OFCmed_02",46,2,41,0.314209453380777,0.732109058211206,0.98727056000793,1,1
"Pallidum_02",46,2,41,0.247688158783181,0.781762904205855,0.98727056000793,1,1
"Precuneus_02",46,2,41,1.47553349285467,0.240544757446695,0.98727056000793,1,1
"Putamen_02",46,2,41,0.368804488996915,0.693831414411267,0.98727056000793,1,1
"Raphe_D_02",46,2,41,3.02505053803619,0.0595083032540075,0.565328880913071,1,1
"Raphe_M_02",46,2,41,0.304928274070783,0.738833506266478,0.98727056000793,1,1
"Thalamus_02",46,2,41,0.0843417371294473,0.919276151151567,0.98727056000793,1,1
"VTA_02",46,2,41,0.550882578462435,0.580647849519407,0.98727056000793,1,1
