ROI,beta,OR,lowerCI,upperCI,p,FDR,Holm,Bonferroni,OR_95CI
Frontal_Mid_02,-0.31583215,0.729181833,0.459215331,1.121508034,0.151916604,0.817190015,1,1,0.73 (0.46-1.12)
LC_02,0.222807613,1.249580148,0.82412484,1.945576647,0.296012591,0.817190015,1,1,1.25 (0.82-1.95)
Putamen_02,-0.218576169,0.803662263,0.516654062,1.216001072,0.301623109,0.817190015,1,1,0.80 (0.52-1.22)
Insula_02,-0.229122979,0.795230731,0.499389309,1.232235153,0.306063447,0.817190015,1,1,0.80 (0.50-1.23)
Cingulate_Ant_02,-0.190080376,0.826892669,0.534656367,1.253107784,0.369871264,0.817190015,1,1,0.83 (0.53-1.25)
Pallidum_02,-0.179850588,0.83539502,0.542627257,1.264044739,0.394677598,0.817190015,1,1,0.84 (0.54-1.26)
Caudata_02,-0.173134195,0.841024746,0.546763124,1.272273584,0.411446228,0.817190015,1,1,0.84 (0.55-1.27)
Frontal_Sup_02,-0.166499756,0.846623023,0.546567215,1.293016411,0.440838611,0.817190015,1,1,0.85 (0.55-1.29)
Raphe_D_02,-0.159283753,0.852754353,0.556047256,1.284945989,0.44467856,0.817190015,1,1,0.85 (0.56-1.28)
Precuneus_02,-0.15035673,0.860400991,0.557327442,1.298635079,0.474258891,0.817190015,1,1,0.86 (0.56-1.30)
Cingulate_Post_02,-0.148041267,0.862395526,0.561494692,1.301359688,0.479994924,0.817190015,1,1,0.86 (0.56-1.30)
Thalamus_02,-0.13600295,0.872840058,0.568313614,1.316456265,0.516120009,0.817190015,1,1,0.87 (0.57-1.32)
VTA_02,0.109302762,1.11550003,0.739866714,1.748725892,0.603692673,0.88232006,1,1,1.12 (0.74-1.75)
Amygdala_02,-0.037273658,0.963412454,0.625882162,1.4801917,0.862396769,0.994706102,1,1,0.96 (0.63-1.48)
N_Acc_02,-0.035292276,0.965323235,0.637105309,1.458935833,0.864526536,0.994706102,1,1,0.97 (0.64-1.46)
Frontal_Sup_Medial_02,-0.027107256,0.973256848,0.636379237,1.489129161,0.899186038,0.994706102,1,1,0.97 (0.64-1.49)
Hypothalamus_02,-0.005347668,0.994666605,0.658275947,1.511174048,0.979478522,0.994706102,1,1,0.99 (0.66-1.51)
Raphe_M_02,-0.004347804,0.995661634,0.651338433,1.526503804,0.983547085,0.994706102,1,1,1.00 (0.65-1.53)
OFCmed_02,0.001349243,1.001350153,0.664243888,1.524285127,0.994706102,0.994706102,1,1,1.00 (0.66-1.52)
