sleep,brain,rho,p,p_bonf,p_fdr,p_fwe
SP,Amygdala_02,-0.069653016,0.521482032,1,0.825679884,1
NRS,Amygdala_02,-0.116077895,0.284319271,1,0.727447444,1
apnea,Amygdala_02,0.106701408,0.325282094,1,0.727447444,1
sleepiness,Amygdala_02,-0.124635944,0.25005999,1,0.727447444,1
KSQ_total,Amygdala_02,-0.130571823,0.228031106,1,0.727447444,1
KSS_pre,Amygdala_02,0.056558759,0.602832517,1,0.849891898,1
SP,Caudata_02,-0.057510405,0.596735427,1,0.849891898,1
NRS,Caudata_02,-0.126980491,0.241190762,1,0.727447444,1
apnea,Caudata_02,-0.080033702,0.461188829,1,0.797180631,1
sleepiness,Caudata_02,-0.016166207,0.881855803,1,0.957443443,1
KSQ_total,Caudata_02,-0.098496591,0.364070232,1,0.728140465,1
KSS_pre,Caudata_02,-0.011657918,0.914655155,1,0.96135549,1
SP,Cingulate_Ant_02,-0.141319125,0.191676643,1,0.727447444,1
NRS,Cingulate_Ant_02,-0.056067882,0.605988238,1,0.849891898,1
apnea,Cingulate_Ant_02,-0.036148198,0.739587304,1,0.916391781,1
sleepiness,Cingulate_Ant_02,0.033847996,0.755621293,1,0.916391781,1
KSQ_total,Cingulate_Ant_02,-0.080238241,0.460040581,1,0.797180631,1
KSS_pre,Cingulate_Ant_02,0.157075103,0.146239253,1,0.727447444,1
SP,Cingulate_Post_02,-0.109786769,0.31140634,1,0.727447444,1
NRS,Cingulate_Post_02,-0.207112745,0.05425391,1,0.727447444,1
apnea,Cingulate_Post_02,-0.041235043,0.704529495,1,0.916391781,1
sleepiness,Cingulate_Post_02,-0.07271119,0.503315492,1,0.808140368,1
KSQ_total,Cingulate_Post_02,-0.165583713,0.125343666,1,0.727447444,1
KSS_pre,Cingulate_Post_02,-0.091404303,0.399790252,1,0.756894831,1
SP,Frontal_Mid_02,-0.174754769,0.105466194,1,0.727447444,1
NRS,Frontal_Mid_02,-0.218344615,0.042182931,1,0.727447444,1
apnea,Frontal_Mid_02,-0.006422269,0.952922548,1,0.96135549,1
sleepiness,Frontal_Mid_02,-0.07286734,0.502396799,1,0.808140368,1
KSQ_total,Frontal_Mid_02,-0.194530767,0.070995141,1,0.727447444,1
KSS_pre,Frontal_Mid_02,0.044543686,0.682048066,1,0.916391781,1
SP,Frontal_Sup_02,-0.09639055,0.374466675,1,0.736020706,1
NRS,Frontal_Sup_02,-0.115931551,0.284931,1,0.727447444,1
apnea,Frontal_Sup_02,-0.029328361,0.787423303,1,0.925356862,1
sleepiness,Frontal_Sup_02,-0.003462875,0.974605656,1,0.974605656,1
KSQ_total,Frontal_Sup_02,-0.10669552,0.325308946,1,0.727447444,1
KSS_pre,Frontal_Sup_02,0.131497283,0.22472297,1,0.727447444,1
SP,Frontal_Sup_Medial_02,-0.113419487,0.295567962,1,0.727447444,1
NRS,Frontal_Sup_Medial_02,-0.075650482,0.486169769,1,0.803237009,1
apnea,Frontal_Sup_Medial_02,-0.111584371,0.303501479,1,0.727447444,1
sleepiness,Frontal_Sup_Medial_02,-0.039037715,0.719602615,1,0.916391781,1
KSQ_total,Frontal_Sup_Medial_02,-0.118788713,0.273145659,1,0.727447444,1
KSS_pre,Frontal_Sup_Medial_02,0.130196871,0.229381054,1,0.727447444,1
SP,Hypothalamus_02,-0.14618715,0.176665997,1,0.727447444,1
